32 	 S+CH 	note:  1/8 	onset :  93.751
32 	 CH 	note:  1/8 	onset :  94.122
32 	 B+CH 	note:  1/8 	onset :  94.494
32 	 B+CH 	note:  1/8 	onset :  94.877
32 	 S+CH 	note:  1/8 	onset :  95.248
32 	 CH 	note:  1/8 	onset :  95.620
33 	 B+CH 	note:  1/8 	onset :  96.003
33 	 CH 	note:  1/8 	onset :  96.374
33 	 S+CH 	note:  1/8 	onset :  96.734
33 	 CH 	note:  1/8 	onset :  97.117
33 	 B+CH 	note:  1/8 	onset :  97.501
33 	 CH 	note:  1/8 	onset :  97.872
33 	 S+CH 	note:  1/8 	onset :  98.232
33 	 CH 	note:  1/8 	onset :  98.627
34 	 B+CH 	note:  1/8 	onset :  98.998
34 	 CH 	note:  1/8 	onset :  99.370
34 	 S+CH 	note:  1/8 	onset :  99.753
34 	 CH 	note:  1/8 	onset :  100.124
34 	 B+CH 	note:  1/8 	onset :  100.496
34 	 B+CH 	note:  1/8 	onset :  100.867
34 	 B 	note:  1/16 	onset :  101.251
34 	 FT 	note:  1/16 	onset :  101.425
34 	 B+FT 	note:  1/8 	onset :  101.611
35 	 B+C 	note:  1/4 	onset :  101.994
35 	 CH 	note:  1/4 	onset :  102.748
35 	 CH 	note:  1/4 	onset :  103.491
35 	 S+CH 	note:  1/4 	onset :  104.246
36 	 B+CH 	note:  1/4 	onset :  105.001
36 	 CH 	note:  1/8 	onset :  105.720
36 	 B 	note:  1/8 	onset :  106.127
36 	 CH 	note:  1/4 	onset :  106.498
36 	 S+CH 	note:  1/4 	onset :  107.241
37 	 B+CH 	note:  1/4 	onset :  107.996
37 	 CH 	note:  1/8 	onset :  108.751
37 	 B 	note:  1/8 	onset :  109.122
37 	 CH 	note:  1/4 	onset :  109.494
37 	 FT 	note:  1/24 	onset :  110.237
37 	 B 	note:  1/24 	onset :  110.376
37 	 B 	note:  1/24 	onset :  110.492
38 	 B 	note:  1/4 	onset :  110.631
38 	 S+B 	note:  1/8 	onset :  111.375
38 	 S+B 	note:  1/8 	onset :  111.746
38 	 B+FT 	note:  1/8 	onset :  112.129
38 	 B+FT 	note:  1/12 	onset :  112.501
38 	 B+FT 	note:  1/24 	onset :  112.744
38 	 B 	note:  1/24 	onset :  112.872
38 	 B 	note:  1/24 	onset :  112.988
38 	 S+FT 	note:  1/24 	onset :  113.116
38 	 S+FT 	note:  1/24 	onset :  113.255
38 	 S+FT 	note:  1/24 	onset :  113.383
38 	 MT 	note:  1/24 	onset :  113.464
38 	 MT 	note:  1/24 	onset :  113.615
38 	 B 	note:  1/24 	onset :  113.755
38 	 B+FT 	note:  1/24 	onset :  113.859
39 	 B+C 	note:  1/8 	onset :  113.987
39 	 CH 	note:  1/8 	onset :  114.370
39 	 S+CH 	note:  1/8 	onset :  114.753
39 	 CH 	note:  1/8 	onset :  115.125
39 	 B+CH 	note:  1/8 	onset :  115.496
39 	 B+CH 	note:  1/8 	onset :  115.868
39 	 S+CH 	note:  1/8 	onset :  116.251
39 	 CH 	note:  1/8 	onset :  116.622
40 	 B+CH 	note:  1/8 	onset :  116.994
40 	 CH 	note:  1/8 	onset :  117.377
40 	 S+CH 	note:  1/8 	onset :  117.748
40 	 CH 	note:  1/8 	onset :  118.120
40 	 B+CH 	note:  1/8 	onset :  118.503
40 	 B+CH 	note:  1/8 	onset :  118.875
40 	 S+CH 	note:  1/8 	onset :  119.246
40 	 CH 	note:  1/8 	onset :  119.618
41 	 B+CH 	note:  1/8 	onset :  120.001
41 	 CH 	note:  1/8 	onset :  120.372
41 	 S+CH 	note:  1/8 	onset :  120.732
41 	 CH 	note:  1/8 	onset :  121.127
41 	 B+CH 	note:  1/8 	onset :  121.498
41 	 B+CH 	note:  1/8 	onset :  121.870
41 	 S+CH 	note:  1/8 	onset :  122.253
41 	 CH 	note:  1/8 	onset :  122.625
42 	 B+CH 	note:  1/8 	onset :  122.996
42 	 CH 	note:  1/8 	onset :  123.368
42 	 S+CH 	note:  1/8 	onset :  123.751
42 	 CH 	note:  1/8 	onset :  124.122
42 	 B+CH 	note:  1/8 	onset :  124.494
42 	 B+CH 	note:  1/8 	onset :  124.877
42 	 S+CH 	note:  1/8 	onset :  125.248
42 	 CH 	note:  1/8 	onset :  125.620
43 	 B+CH 	note:  1/8 	onset :  126.003
43 	 CH 	note:  1/8 	onset :  126.375
43 	 S+CH 	note:  1/8 	onset :  126.735
43 	 CH 	note:  1/8 	onset :  127.118
43 	 B+CH 	note:  1/8 	onset :  127.501
43 	 B+CH 	note:  1/8 	onset :  127.872
43 	 S+CH 	note:  1/8 	onset :  128.244
43 	 CH 	note:  1/8 	onset :  128.627
44 	 B+CH 	note:  1/8 	onset :  128.998
44 	 CH 	note:  1/8 	onset :  129.370
44 	 S+CH 	note:  1/8 	onset :  129.753
44 	 CH 	note:  1/8 	onset :  130.125
44 	 B+CH 	note:  1/8 	onset :  130.496
44 	 B+CH 	note:  1/8 	onset :  130.868
44 	 S+CH 	note:  1/8 	onset :  131.251
44 	 CH 	note:  1/8 	onset :  131.622
45 	 B+CH 	note:  1/8 	onset :  131.994
45 	 CH 	note:  1/8 	onset :  132.377
45 	 S+CH 	note:  1/8 	onset :  132.737
