33 	 B+C 	note:  1/16 	onset :  106.614
34 	 B+C 	note:  1/8 	onset :  107.032
37 	 CH 	note:  ?	 	onset :  116.750
37 	 CH 	note:  1/4 	onset :  117.563
37 	 MT 	note:  1/4 	onset :  118.375
37 	 MT 	note:  1/16 	onset :  118.584
37 	 B 	note:  1/16 	onset :  118.782
37 	 B+FT 	note:  1/16 	onset :  118.967
37 	 B+FT 	note:  1/16 	onset :  119.188
37 	 B+FT 	note:  1/16 	onset :  119.385
37 	 B+C 	note:  1/16 	onset :  119.583
37 	 B+C 	note:  1/8 	onset :  120.001
38 	 B+CH 	note:  1/8 	onset :  120.407
38 	 S+CH 	note:  1/8 	onset :  120.813
38 	 CH 	note:  1/8 	onset :  121.220
38 	 B+CH 	note:  1/8 	onset :  121.626
38 	 S 	note:  1/16 	onset :  121.823
38 	 B+CH 	note:  1/16 	onset :  121.998
38 	 B 	note:  1/16 	onset :  122.218
38 	 S+B+CH 	note:  1/16 	onset :  122.416
38 	 CH 	note:  1/8 	onset :  122.810
38 	 B+CH 	note:  1/8 	onset :  123.228
39 	 B+CH 	note:  1/8 	onset :  123.646
39 	 S+CH 	note:  1/8 	onset :  124.053
39 	 CH 	note:  1/8 	onset :  124.459
39 	 B+CH 	note:  1/8 	onset :  124.865
39 	 S 	note:  1/16 	onset :  125.074
39 	 B+CH 	note:  1/16 	onset :  125.272
39 	 B 	note:  1/16 	onset :  125.481
39 	 S+B+CH 	note:  1/16 	onset :  125.655
39 	 CH 	note:  1/8 	onset :  126.050
39 	 B+C 	note:  1/8 	onset :  126.491
40 	 B+CH 	note:  1/8 	onset :  126.897
40 	 S+CH 	note:  1/8 	onset :  127.292
40 	 CH 	note:  1/8 	onset :  127.687
40 	 B+CH 	note:  1/8 	onset :  128.081
40 	 S 	note:  1/16 	onset :  128.313
40 	 B+CH 	note:  1/16 	onset :  128.488
40 	 B 	note:  1/16 	onset :  128.697
40 	 S+B+CH 	note:  1/16 	onset :  128.906
40 	 CH 	note:  1/8 	onset :  129.300
40 	 B+CH 	note:  1/8 	onset :  129.730
41 	 B+CH 	note:  1/8 	onset :  130.136
41 	 S+CH 	note:  1/8 	onset :  130.543
